Time - Temperature,Temperature - Temperature
1531,38.3955
1532,38.3824
1533,38.3671
1534,38.3561
1535,38.3434
1536,38.3262
1537,38.3073
1538,38.3095
1539,38.296
1540,38.2814
1541,38.2657
1542,38.2668
1543,38.2493
1544,38.2497
1545,38.2245
1546,38.2118
1547,38.1987
1548,38.187
1549,38.1841
1550,38.164
1551,38.1524
1552,38.1469
1553,38.1374
1554,38.1247
1555,38.1228
1556,38.105
1557,38.0933
1558,38.0747
1559,38.0609
1560,38.0415
1561,38.0353
1562,38.0208
1563,38.0091
1564,38.0007
1565,37.989
1566,37.9755
1567,37.9544
1568,37.95
1569,37.9398
1570,37.9187
1571,37.9136
1572,37.8837
1573,37.884
1574,37.868
1575,37.8516
1576,37.8498
1577,37.8312
1578,37.8308
1579,37.8155
1580,37.8078
1581,37.7965
1582,37.7728
1583,37.7615
1584,37.7517
1585,37.7367
1586,37.7159
1587,37.7032
1588,37.694
1589,37.6769
1590,37.6645
1591,37.643
1592,37.6295
1593,37.6127
1594,37.5981
1595,37.5901
1596,37.5689
1597,37.5678
1598,37.5482
1599,37.5372
1600,37.5292
1601,37.5106
1602,37.4894
1603,37.4971
1604,37.4799
1605,37.4719
1606,37.4796
1607,37.457
1608,37.4515
1609,37.434
1610,37.4245
1611,37.4132
1612,37.4012
1613,37.3906
1614,37.376
1615,37.3501
1616,37.3428
1617,37.3417
1618,37.3187
1619,37.3154
1620,37.2943
1621,37.2921
1622,37.2815
1623,37.2695
1624,37.2541
1625,37.2384
1626,37.2421
1627,37.2136
1628,37.2096
1629,37.1943
1630,37.1852
1631,37.1731
1632,37.1658
1633,37.1531
1634,37.1304
1635,37.1202
1636,37.1148
1637,37.0965
1638,37.091
1639,37.0764
1640,37.0717
1641,37.0706
1642,37.0662
1643,37.0549
1644,37.0421
1645,37.0374
1646,37.0221
1647,37.0024
1648,36.9973
1649,36.9841
1650,36.975
1651,36.9593
1652,36.9524
1653,36.9389
1654,36.933
1655,36.9177
1656,36.9038
1657,36.8892
1658,36.8688
1659,36.8633
1660,36.8454
1661,36.8312
1662,36.8199
1663,36.8148
1664,36.8068
1665,36.7808
1666,36.7783
1667,36.7502
1668,36.752
1669,36.737
1670,36.721
1671,36.6991
1672,36.6867
1673,36.675
1674,36.6597
1675,36.656
1676,36.6399
1677,36.6217
1678,36.6082
1679,36.6023
1680,36.61
1681,36.6045
1682,36.5987
1683,36.5929
1684,36.5823
1685,36.5611
1686,36.5589
1687,36.5359
1688,36.5344
1689,36.5198
1690,36.51
1691,36.4957
1692,36.4808
1693,36.4607
1694,36.4479
1695,36.4545
1696,36.4289
1697,36.4227
1698,36.4041
1699,36.3942
1700,36.3742
1701,36.3585
1702,36.3596
1703,36.3435
1704,36.3336
1705,36.3387
1706,36.3125
1707,36.3041
1708,36.28
1709,36.2873
1710,36.2628
1711,36.2493
1712,36.2456
1713,36.235
1714,36.2146
1715,36.2131
1716,36.1993
1717,36.1898
1718,36.1741
1719,36.1678
1720,36.1529
1721,36.1423
1722,36.1346
1723,36.1171
1724,36.0952
1725,36.0919
1726,36.0824
1727,36.0795
1728,36.0707
1729,36.0488
1730,36.051
1731,36.047
1732,36.0243
1733,36.0247
1734,36.0024
1735,36.0017
1736,35.9874
1737,35.9761
1738,35.9677
1739,35.9527
1740,35.9447
1741,35.9334
1742,35.9231
1743,35.9074
1744,35.8837
1745,35.8727
1746,35.8567
1747,35.8548
1748,35.8461
1749,35.8304
1750,35.8234
1751,35.819
1752,35.7949
1753,35.7763
1754,35.7785
1755,35.7752
1756,35.7624
1757,35.7511
1758,35.7412
1759,35.7295
1760,35.7164
1761,35.7229
1762,35.6926
1763,35.6926
1764,35.6707
1765,35.6674
1766,35.6554
1767,35.6517
1768,35.6382
1769,35.6236
1770,35.6053
1771,35.5969
1772,35.5848
1773,35.5768
1774,35.5658
1775,35.5563
1776,35.537
1777,35.526
1778,35.5271
1779,35.5099
1780,35.4997
1781,35.4818
1782,35.4865
1783,35.4719
1784,35.4617
1785,35.4409
1786,35.4295
1787,35.4182
1788,35.408
1789,35.4021
1790,35.389
1791,35.3798
1792,35.3714
1793,35.3517
1794,35.348
1795,35.3385
1796,35.3217
1797,35.3166
1798,35.3064
1799,35.3031
